Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005886~plasma membrane	119	55.86854460093896	1.73601752123311E-21	GNA13, ALPPL2, HRAS, GPR126, TSPAN4, RP2, GNA11, GNA12, JAG1, ITSN1, MEGF10, CD2AP, LPHN2, CD47, APOB, CD44, APOE, CD46, RALB, DYNC2H1, ADAM9, BSG, STIM2, MFGE8, HLA-C, HLA-B, SLC34A3, F3, F2, ROR1, SDCBP, CHMP2A, GNAI3, ENPP1, GNAI2, GNAI1, EPHB3, EPHB4, ITGB1, FTH1, EPHB1, EPHB2, SERINC3, SLC29A1, ALCAM, KRAS, ECE1, PROCR, ITGAV, PVRL3, RAC1, ITGB6, SCARB1, FN1, MET, ITGA2, ITGA3, CD63, MCAM, EPHA2, EPS15, CD55, ITGA6, PKP2, CD59, CD58, RAP1A, RAP1B, ANTXR2, PLAU, NRP1, TSG101, FERMT2, RHOQ, EPS15L1, CD151, SDC4, SDC2, CD97, CDC42, SLC1A5, SPINT2, GPC6, IL1RAP, SNTB2, NT5E, RAP2B, STX4, ADAM10, LIMK1, SLC3A2, RFTN1, SDC1, CA9, GNAQ, RRAS2, CD81, CD99L2, SH3KBP1, GNAS, TFR2, ALPP, MLF2, CD9, COL6A3, ENO2, SERPINC1, THBS1, MLLT4, GNAO1, PTPRA, FZD2, SLC16A3, VWF, PLSCR1, NRAS, AP2A1, PLSCR3, RAB22A, GPR116	189	3777	12782	2.1307720216907406	4.912929585089701E-19	4.912929585089701E-19	2.299198075322115E-18
SP_PIR_KEYWORDS	lipoprotein	43	20.187793427230048	4.344918297820095E-21	GNA13, HRAS, ALPPL2, GNAI3, GNAI2, GNAI1, RP2, GNA12, RHOQ, CD151, ALPP, CDC42, CD9, APOB, GOLGA7, KRAS, RAC2, APOE, RAC3, GPC6, ITGB6, RAC1, RALB, SCARB1, NT5E, RAP2B, GNAO1, MAP1LC3B2, RFTN1, NRAS, PLSCR1, CD55, GNAQ, CD59, RRAS2, F3, PLSCR3, RAB22A, CD58, RAP1A, RAP1B, GNAS, LRP5	212	642	19235	6.0770072885440545	1.3556145089198696E-18	1.3556145089198696E-18	5.840838948937679E-18
SP_PIR_KEYWORDS	glycoprotein	105	49.29577464788733	5.6333075467970386E-18	A2M, ALPPL2, GPR126, MPZL2, SLC44A2, TSPAN4, TSPAN6, GGT1, JAG1, MEGF10, LPHN2, CD47, APOB, CD44, APOE, CD46, CCBE1, ADAM9, BSG, STIM2, HLA-C, MFGE8, HLA-B, SLC34A3, IGSF8, F3, F2, IGSF3, ROR1, PTGFRN, ENPP1, EPHB3, EPHB4, ITGB1, EPHB1, EPHB2, AHSG, SERINC3, SLC29A1, ALCAM, SERINC5, LGALS3BP, ECE1, PROCR, ALB, ITGAV, PVRL3, ITGB6, SCARB1, FN1, COL18A1, MET, ITGA2, HBA2, ITGA3, HBA1, CD63, MCAM, TINAGL1, EPHA2, CD55, ITGA6, CD59, CD58, SPCS3, ANTXR2, MUC5AC, PLAU, MUC5B, PXDN, NRP1, PZP, CD151, SDC4, SDC2, CD97, SLC1A5, SPINT2, GPC6, IL1RAP, SERPINA4, SERPINA1, CLDND1, LOXL2, NT5E, ADAM10, SLC3A2, SDC1, CA9, CD99L2, GNAS, TFR2, ALPP, CD9, NUP214, COL6A3, SERPINC1, THBS1, PTPRA, TSPAN14, FZD2, COL5A1, TMEM2, VWF, PRSS23, GPR116, LRP5	212	4318	19235	2.206292002761586	1.7575919546006761E-15	8.787959773003381E-16	7.572810321240037E-15
GOTERM_CC_FAT	GO:0044459~plasma membrane part	79	37.08920187793427	3.0427620548821124E-15	GNA13, HRAS, TSPAN4, RP2, FERMT2, JAG1, CD151, ITSN1, SDC4, SDC2, CD97, CDC42, SLC1A5, CD47, CD44, APOE, GPC6, CD46, IL1RAP, RALB, SNTB2, ADAM9, RAP2B, STX4, LIMK1, MFGE8, HLA-C, HLA-B, SLC34A3, SDC1, CA9, F3, RRAS2, CD81, ROR1, CD99L2, SH3KBP1, SDCBP, GNAS, CHMP2A, ENPP1, GNAI1, TFR2, EPHB3, ITGB1, EPHB4, EPHB1, MLF2, EPHB2, SLC29A1, ALCAM, CD9, KRAS, ECE1, PROCR, ITGAV, PVRL3, RAC1, ITGB6, SCARB1, THBS1, MLLT4, FN1, MET, PTPRA, ITGA2, ITGA3, FZD2, CD63, EPHA2, SLC16A3, EPS15, NRAS, VWF, CD55, ITGA6, PKP2, AP2A1, CD59, CD58	189	2203	12782	2.4252114120475445	8.483214131160821E-13	4.241051954068098E-13	3.9745984281580604E-12
GOTERM_MF_FAT	GO:0003924~GTPase activity	23	10.7981220657277	1.0885484537858358E-14	RAP2B, GNA13, HRAS, GNAO1, GNAI3, GNAI2, GNAI1, GNA11, GNA12, RHOQ, CDC42, NRAS, KRAS, GNAQ, RAC2, RAC3, RRAS2, RAB22A, RAC1, RALB, RAP1A, GNAS, RAP1B	160	211	12983	8.845053317535545	3.764544231898981E-12	3.764544231898981E-12	1.4854784069484595E-11
SP_PIR_KEYWORDS	signal	82	38.497652582159624	5.985445726541475E-14	A2M, PXDN, ALPPL2, PZP, NRP1, GPR126, MPZL2, EDIL3, JAG1, SDC4, MEGF10, SDC2, CD97, LPHN2, CD47, APOB, CD44, SPINT2, APOE, GPC6, CD46, IL1RAP, SERPINA4, CCBE1, SERPINA1, LOXL2, NT5E, ADAM9, BSG, ADAM10, STIM2, MFGE8, HLA-C, HLA-B, SDC1, IGSF8, CA9, F3, F2, IGSF3, ROR1, CD99L2, PTGFRN, EPHB3, ALPP, ITGB1, EPHB4, EPHB1, AHSG, EPHB2, ALCAM, LGALS3BP, PROCR, ALB, ITGAV, PVRL3, COL6A3, ITGB6, SERPINC1, THBS1, FN1, COL18A1, MET, PTPRA, ITGA2, ITGA3, FZD2, TINAGL1, MCAM, COL5A1, EPHA2, VWF, CD55, ITGA6, CD59, CD58, ANTXR2, MUC5AC, PRSS23, PLAU, MUC5B, LRP5, GPR116	212	3250	19235	2.2892162554426707	1.8670398560516333E-11	6.2234661868387775E-12	8.044676036433884E-11
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	95	44.60093896713615	6.467901915613065E-14	A2M, PXDN, ALPPL2, PZP, SLC44A2, NRP1, GPR126, MPZL2, TSPAN4, TSPAN6, GGT1, JAG1, CD151, MEGF10, CD97, LPHN2, SLC1A5, CD47, APOB, CD44, SPINT2, CD46, IL1RAP, SERPINA4, CCBE1, SERPINA1, CLDND1, LOXL2, NT5E, ADAM9, BSG, ADAM10, STIM2, SLC3A2, MFGE8, HLA-C, HLA-B, SLC34A3, SDC1, IGSF8, CA9, F3, IGSF3, F2, ROR1, PTGFRN, ENPP1, TFR2, EPHB3, ALPP, EPHB4, ITGB1, EPHB1, AHSG, EPHB2, SERINC3, SLC29A1, ALCAM, CD9, LGALS3BP, SERINC5, ECE1, PROCR, ITGAV, PVRL3, COL6A3, ITGB6, SERPINC1, SCARB1, THBS1, FN1, COL18A1, MET, PTPRA, TSPAN14, ITGA2, ITGA3, FZD2, CD63, MCAM, TINAGL1, EPHA2, TMEM2, VWF, CD55, ITGA6, CD59, CD58, SPCS3, ANTXR2, MUC5AC, PRSS23, PLAU, MUC5B, LRP5, GPR116	212	4129	19113	2.0743007352504375	6.090716819784348E-11	6.090716819784348E-11	1.0147438445073931E-10
SP_PIR_KEYWORDS	membrane	122	57.27699530516433	8.216060864640857E-14	GNA13, ALPPL2, HRAS, SLC44A2, GPR126, MPZL2, CHMP4B, CHMP5, TSPAN4, RP2, GNA12, TSPAN6, CNP, GGT1, JAG1, ITSN1, MEGF10, LPHN2, CD47, CD44, CD46, RALB, DYNC2H1, ADAM9, SCAMP3, BSG, STIM2, MFGE8, HLA-C, MAP1LC3B2, HLA-B, SLC34A3, IGSF8, F3, IGSF3, ROR1, SDCBP, PTGFRN, CHMP2A, ENPP1, EPHB3, EPHB4, ITGB1, EPHB1, CHMP2B, EPHB2, SLC29A1, SERINC3, ALCAM, SERINC5, ECE1, KRAS, PROCR, RAC3, ITGAV, PVRL3, RAC1, ITGB6, SCARB1, MET, ITGA2, ITGA3, CD63, MCAM, EPHA2, EPS15, CD55, ITGA6, CD59, CD58, SPCS3, RHOT2, RAP1A, RAP1B, ANTXR2, NRP1, TSG101, RHOQ, EPS15L1, CD151, SDC4, SDC2, CD97, CDC42, SLC1A5, GOLGA7, SPINT2, GPC6, IL1RAP, SNTB2, CLDND1, NT5E, RAP2B, STX4, ADAM10, SLC3A2, RFTN1, SDC1, CHMP1B, CA9, RRAS2, CD81, CD99L2, SH3KBP1, GNAS, TFR2, ALPP, CD9, ENO2, VTA1, PTPRA, TSPAN14, FZD2, TMEM2, SLC16A3, PLSCR1, NRAS, AP2A1, RAB22A, PLSCR3, VPS25, LRP5, GPR116	212	6256	19235	1.7693730999372677	2.5632829192545614E-11	6.4082072981364036E-12	1.1044498648971057E-10
UP_SEQ_FEATURE	signal peptide	82	38.497652582159624	8.528540345488721E-14	A2M, PXDN, ALPPL2, PZP, NRP1, GPR126, MPZL2, EDIL3, JAG1, SDC4, MEGF10, SDC2, CD97, LPHN2, CD47, APOB, CD44, SPINT2, APOE, GPC6, CD46, IL1RAP, SERPINA4, CCBE1, SERPINA1, LOXL2, NT5E, ADAM9, BSG, ADAM10, STIM2, MFGE8, HLA-C, HLA-B, SDC1, IGSF8, CA9, F3, F2, IGSF3, ROR1, CD99L2, PTGFRN, EPHB3, ALPP, ITGB1, EPHB4, EPHB1, AHSG, EPHB2, ALCAM, LGALS3BP, PROCR, ALB, ITGAV, PVRL3, COL6A3, ITGB6, SERPINC1, THBS1, FN1, COL18A1, MET, PTPRA, ITGA2, ITGA3, FZD2, TINAGL1, MCAM, COL5A1, EPHA2, VWF, CD55, ITGA6, CD59, CD58, ANTXR2, MUC5AC, PRSS23, PLAU, MUC5B, LRP5, GPR116	212	3250	19113	2.274696661828737	8.023448572203051E-11	4.0117242861015256E-11	1.3367085216486885E-10
UP_SEQ_FEATURE	lipid moiety-binding region:S-palmitoyl cysteine	20	9.389671361502346	1.466761217028881E-13	GNA13, HRAS, GNAI3, GNAO1, GNAI2, GNAI1, RP2, GNA12, RFTN1, CD151, CD9, PLSCR1, NRAS, GOLGA7, APOB, KRAS, GNAQ, F3, PLSCR3, GNAS	212	181	19113	9.961951422912541	1.3800749432135717E-10	4.600253511455321E-11	2.2992718839986992E-10
UP_SEQ_FEATURE	nucleotide phosphate-binding region:GTP	24	11.267605633802818	2.186032706764613E-13	RAP2B, GNA13, HRAS, GNAO1, GNAI3, GNAI2, NIN, GNAI1, GNA11, GNA12, RHOQ, CDC42, NRAS, KRAS, GNAQ, RAC2, RAC3, RRAS2, RAB22A, RAC1, RALB, RAP1A, GNAS, RAP1B	212	295	19113	7.334697793412217	2.0570534164932042E-10	5.142630765675449E-11	3.427036432412933E-10
SP_PIR_KEYWORDS	gtp-binding	25	11.737089201877934	2.3802699884779954E-13	GNA13, HRAS, GNAI3, GNAI2, GNAI1, GNA11, GNA12, RHOQ, CDC42, KRAS, RAC2, RAC3, RAC1, RALB, RAP2B, GNAO1, NIN, NRAS, GNAQ, RRAS2, RAB22A, RHOT2, RAP1A, GNAS, RAP1B	212	329	19235	6.894462923668062	7.426592674164567E-11	1.485322975725012E-11	3.199884801574626E-10
