GN_Exosome GN_Non_Exosome
1997 GPR89A
1848 STXBP3
1894 TNFRSF10A
507 PSMD12
1495 RTCA
1355 PSMD14
599 CYR61
1810 PTGES
97 GIPC1
230 UQCRQ
464 HMGB3
932 NDUFC1
1395 NEMF
1003 EIF5B
499 CUTA
289 SEC22B
1689 VPS26A
1726 BANF1
190 NUP155
1713 CRTAP
135 ZMPSTE24
1934 ARL6IP5
484 DCTN3
648 GLRX3
234 TOMM70A
390 UFL1
264 SDPR
697 BPNT1
1464 TXNDC12
1032 MT-CO2
1602 PLG
839 FTL
1110 CAT
1676 CSTB
1279 SERPINE1
355 ISG15
254 RB1
210 H1F0
1390 PSAP
1822 SRPR
235 COL4A2
279 CYC1
303 SETSIP
338 COX5B
992 ACP2
669 DBT
669 COL6A1
670 F5
1099 EEF2
1613 C6
1613 P4HA1
121 COX6B1
48 PVR
1692 COX7C
1169 TMEM11
1893 LGALS3
1601 ITIH2
188 EIF2S2
187 ANXA7
147 PSMB1
1296 GSTM3
1658 SDHB
2020 PPIB
452 CPT2
312 ATP5F1
825 RPS12
1728 S100P
NA DDX6
398 U2AF2
466 PSMB6
838 NDUFS1
963 TPP2
1998 PRDX6
1040 ATP5D
962 ECHS1
NA PEBP1
NA AXL
519 LRPAP1
1282 TSPO
1637 UQCRC1
116 HIBADH
3 S100A11
1410 CKS2
768 RPL22
768 HRH1
766 ATP5C1
766 TAGLN2
767 TXLNA
767 RPL35
768 ACADSB
768 USP5
766 MKI67
768 MTIF2
766 RPS5
767 RPS10
127 RPL29
636 RPL34
65 LMAN1
77 CARS
77 SARS
1806 KNTC1
641 BCAM
641 RPL14
1344 HDGF
686 HNRNPA3
681 KIF11
684 BLVRA
685 HCCS
680 YARS
687 ALDH18A1
688 EIF5
683 ADAR
682 NHP2L1
831 RRP1
865 ATP5E
862 ATP5I
910 NDUFA6
909 S100A10
1024 DSTN
949 SRP54
1024 SNRPD1
558 RPS26
557 RPS28
861 FAU
447 RPL10A
283 TRA2B
1685 GNG5
286 CSNK2B
339 UBE2L3
93 MRPS22
94 MRPS9
817 SARNP
818 RPL24
816 SRSF3
811 CYCS
818 SRSF2
812 LMNB2
813 UBXN1
1677 GLO1
1449 PRDX1
345 SCRN1
600 PRKAA1
285 HNRNPA0
281 DNAJC3
280 TPBG
261 LAMC2
857 IL18
857 TTLL12
399 TRIM25
555 MCM6
1394 MESDC2
1610 RRS1
284 EIF4H
343 PWP2
1174 TOMM20
288 TOMM34
559 SRSF7
860 HADH
858 ANO6
1767 PHLDA2
1765 STEAP3
563 PDE12
564 EFTUD1
565 AHNAK2
562 TNS4
566 LRRC47
1612 MRPL50
465 NHLRC2
889 SCCPDH
1611 VANGL1
213 GDAP1
213 SLC35B2
341 STT3B
617 UBASH3B
1018 THEM6
570 PHLDA1
1009 GBF1
277 TM9SF4
384 GCN1L1
385 MRPS31
711 ALG3
712 USP9X
1037 TMBIM1
1755 ERGIC1
NA LRRC59
856 TOMM6
1445 IMP4
124 USMG5
1036 CLPTM1L
101 VPS35
287 ERGIC2
900 NUDCD1
1168 PSMB7
794 CDC5L
1458 SDHC
1457 ACO2
1573 EBNA1BP2
2026 TMEM43
1459 TMEM109
1490 ALG8
1522 TMED9
623 GNL3
1558 CRNKL1
708 ZDHHC5
1489 EHD4
1443 VPS33B
1442 SLC38A1
292 DNAJC5
1441 ALG2
1488 TFB2M
118 VCPKMT
495 CWC22
740 XAB2
737 TM9SF3
736 PDLIM7
873 MRPL17
1080 SERINC1
1081 GAR1
823 MRPL39
1494 CISD1
NA SEC63
948 SUSD2
1026 LNPEP
1026 MRTO4
282 PARP4
1772 NUDT5
1772 RAB23
1715 MCTS1
49 MYO6
1633 NCKAP1
78 POLDIP2
203 SUGT1
1483 PTRH2
209 NOC2L
1660 RBM8A
1035 SNX9
302 PSAT1
212 UBA6
493 ESYT2
278 NACA
263 AGPS
1004 KIF2A
218 MYO1C
1038 UNC13D
311 SNAP23
703 AIP
1995 AP3B1
1814 PSMD11
372 PGRMC1
370 PGRMC2
368 CLIC1
371 CLIC4
1687 PDHX
702 DNM1L
151 AGRN
967 PLOD2
1892 KPNA3
1812 PES1
290 NOP56
1603 PODXL
1236 PPP6C
1236 UBE2C
1686 NDUFAB1
1405 TOR1A
596 PRMT5
618 PRMT5
585 PSMA7
1652 MYL12B
1287 HGS
119 XPO1
1083 MCM3
1022 PLXNB2
1891 PFAS
1923 NPC1
1989 ARPC2
1816 PFDN6
316 LAMA5
315 PPM1G
294 EIF3D
1996 AREL1
1942 ARPC5
310 TAPBP
2001 CYB5B
843 PSMD3
867 EEF1E1
1920 TPD52L2
NA EPB41L2
326 TIMM44
326 TRAPPC3
870 ASNA1
871 BUB3
419 ACTN2
317 ACTN1
571 ACTN4
694 ACTN1
71 
1298 SYNGR2
1991 NUDT21
1991 IDH3B
NA CALU
314 CALU
959 AHCYL1
598 NDUFS5
1146 SMARCA1
699 SMARCA5
386 AQR
387 SNX3
