proteins.Protein,proteins.Log2_Ratio_130.129,proteins.Log2_Ratio_131.129
sp|A0AVT1|UBA6_HUMAN,0.505,0.33
sp|A0FGR8-2|ESYT2_HUMAN,0.905,0.3975
sp|A5D8V6|VP37C_HUMAN,0.885833333333333,0.974166666666667
sp|A5YKK6-2|CNOT1_HUMAN,1.535,1.06666666666667
sp|A6NCE7|MP3B2_HUMAN,1.69,0.865
sp|A6NGU5|GGT3_HUMAN,1.3595,0.7545
sp|A6NHL2-2|TBAL3_HUMAN,0.331494252873563,0.163970741901776
sp|A6NMY6|AXA2L_HUMAN,0.57156746031746,0.300588818860878
sp|A8MWL6|SNG2L_HUMAN,0.4,0.18
sp|B7ZAQ6-2|GPHRA_HUMAN,0.333333333333333,0.225
sp|E9PAV3-2|NACAM_HUMAN,0.584,0.2835
sp|F5H284|PAL4D_HUMAN,0.840953947368421,0.490657894736842
sp|O00116|ADAS_HUMAN,1.13232142857143,0.218035714285714
sp|O00139-1|KIF2A_HUMAN,0.315,0.39
sp|O00148-2|DX39A_HUMAN,0.304888888888889,0.184833333333333
sp|O00148|DX39A_HUMAN,0.346196581196581,0.213717948717949
sp|O00154-2|BACH_HUMAN,0.976666666666667,0.893333333333333
sp|O00159-2|MYO1C_HUMAN,0.980285714285714,0.373952380952381
sp|O00161-2|SNP23_HUMAN,1.14,0.63
sp|O00170|AIP_HUMAN,0.235,0.13
sp|O00186|STXB3_HUMAN,1.1875,0.506666666666667
sp|O00203-3|AP3B1_HUMAN,0.428333333333333,0.371666666666667
sp|O00220|TR10A_HUMAN,0.835,0.755
sp|O00231-2|PSD11_HUMAN,0.692708333333333,0.390625
sp|O00232-2|PSD12_HUMAN,0.6025,0.279166666666667
sp|O00264|PGRC1_HUMAN,0.295,0.181666666666667
sp|O00299|CLIC1_HUMAN,0.853543417366947,0.410364145658263
sp|O00330-3|ODPX_HUMAN,0.2525,0.18375
sp|O00429-2|DNM1L_HUMAN,0.534,0.287
sp|O00442-2|RTCA_HUMAN,0.248333333333333,0.191666666666667
sp|O00468-2|AGRIN_HUMAN,1.17375,0.415416666666667
sp|O00469-2|PLOD2_HUMAN,0.519920634920635,0.270555555555556
sp|O00483|NDUA4_HUMAN,0.3675,0.2825
sp|O00487|PSDE_HUMAN,0.483333333333333,0.219166666666667
sp|O00505|IMA4_HUMAN,0.5125,0.1975
sp|O00507-2|USP9Y_HUMAN,0.9975,0.215
sp|O00541-2|PESC_HUMAN,0.5125,0.289166666666667
sp|O00560-2|SDCB1_HUMAN,7.69543661971831,6.37526056338028
sp|O00560|SDCB1_HUMAN,7.40395815170009,6.12861595466434
sp|O00567|NOP56_HUMAN,0.453173076923077,0.255384615384615
sp|O00571-2|DDX3X_HUMAN,0.394583333333333,0.303333333333333
sp|O00585|CCL21_HUMAN,0.41,0.26
sp|O00592-2|PODXL_HUMAN,0.590125,0.308625
sp|O00622|CYR61_HUMAN,0.94375,0.322583333333333
sp|O00629|IMA3_HUMAN,0.36,0.305
sp|O00743-2|PPP6_HUMAN,0.345,0.45
sp|O00762-2|UBE2C_HUMAN,0.38,0.32
sp|O14556|G3PT_HUMAN,0.598333333333333,0.332666666666667
sp|O14561|ACPM_HUMAN,0.39675,0.244
sp|O14617-5|AP3D1_HUMAN,1.51166666666667,0.533333333333333
sp|O14656|TOR1A_HUMAN,0.46,0.28
sp|O14672|ADA10_HUMAN,1.27233333333333,0.961111111111111
sp|O14684|PTGES_HUMAN,0.475,0.324166666666667
sp|O14744|ANM5_HUMAN,0.531785714285714,0.291339285714286
sp|O14745|NHRF1_HUMAN,1.415,0.5775
sp|O14763-2|TR10B_HUMAN,1.2025,0.6525
sp|O14782|KIF3C_HUMAN,0.58,0.205
sp|O14786|NRP1_HUMAN,1.41881944444444,0.933472222222222
sp|O14787-2|TNPO2_HUMAN,0.43125,0.26875
sp|O14817|TSN4_HUMAN,8.11,4.83
sp|O14818-2|PSA7_HUMAN,0.55,0.32875
sp|O14828|SCAM3_HUMAN,1.7595,1.018
sp|O14879|IFIT3_HUMAN,0.42,0.2825
sp|O14908-2|GIPC1_HUMAN,0.64,0.59
sp|O14949|QCR8_HUMAN,0.2825,0.21
sp|O14950|ML12B_HUMAN,0.55625,0.306979166666667
sp|O14964-2|HGS_HUMAN,0.851666666666667,0.4525
sp|O14965|AURKA_HUMAN,1.80895833333333,1.48833333333333
sp|O14979-2|HNRDL_HUMAN,0.335,0.206
sp|O14980|XPO1_HUMAN,0.687,0.179
sp|O15031|PLXB2_HUMAN,0.933311688311688,0.490584415584416
sp|O15033-2|AREL1_HUMAN,0.815,0.58
sp|O15067|PUR4_HUMAN,0.363333333333333,0.306666666666667
sp|O15084-1|ANR28_HUMAN,0.53,0.17
sp|O15085-2|ARHGB_HUMAN,0.685,0.695
sp|O15118|NPC1_HUMAN,1.0125,0.355
sp|O15127|SCAM2_HUMAN,0.55,0.26
sp|O15143|ARC1B_HUMAN,1.52414285714286,0.866428571428572
sp|O15144|ARPC2_HUMAN,0.560694444444444,0.289861111111111
sp|O15162-2|PLS1_HUMAN,2.135,1.3025
sp|O15173-2|PGRC2_HUMAN,0.348333333333333,0.178333333333333
sp|O15198-2|SMAD9_HUMAN,1.10375,0.66375
sp|O15212|PFD6_HUMAN,0.778333333333333,0.391666666666667
sp|O15230|LAMA5_HUMAN,1.0025,0.244333333333333
sp|O15258|RER1_HUMAN,0.455,0.225
sp|O15264|MK13_HUMAN,0.225,0.235
sp|O15347|HMGB3_HUMAN,0.265,0.14
sp|O15355|PPM1G_HUMAN,0.985,0.167083333333333
sp|O15371|EIF3D_HUMAN,0.3675,0.0925
sp|O15400-2|STX7_HUMAN,0.495,0.395
sp|O15427|MOT4_HUMAN,1.35868055555556,1.10635416666667
sp|O15498|YKT6_HUMAN,0.62,1.31166666666667
sp|O15511-2|ARPC5_HUMAN,0.746666666666667,0.34
sp|O15533-2|TPSN_HUMAN,0.354,0.26
sp|O43143|DHX15_HUMAN,1.78355797101449,0.999427536231884
sp|O43169|CYB5B_HUMAN,0.4025,0.2225
sp|O43172-2|PRP4_HUMAN,0.6625,0.3025
sp|O43175|SERA_HUMAN,0.469166666666667,0.279166666666667
sp|O43242|PSMD3_HUMAN,0.490416666666667,0.2445
sp|O43291-2|SPIT2_HUMAN,1.42,2.015
sp|O43324-2|MCA3_HUMAN,0.303333333333333,0.218333333333333
sp|O43390-2|HNRPR_HUMAN,0.380213675213675,0.206837606837607
sp|O43399-5|TPD54_HUMAN,0.813,0.377
sp|O43402|EMC8_HUMAN,0.53,0.22
sp|O43432-3|IF4G3_HUMAN,0.302777777777778,0.118888888888889
sp|O43491|E41L2_HUMAN,0.955,0.465
sp|O43615|TIM44_HUMAN,0.395,0.0991666666666667
sp|O43617|TPPC3_HUMAN,0.485,0.27
sp|O43633|CHM2A_HUMAN,1.416,1.296
sp|O43657|TSN6_HUMAN,2.4725,2.48229166666667
sp|O43677|NDUC1_HUMAN,0.361666666666667,0.236666666666667
sp|O43681|ASNA_HUMAN,0.724285714285714,0.535714285714286
sp|O43684-2|BUB3_HUMAN,0.6225,0.275833333333333
sp|O43707|ACTN4_HUMAN,0.862754385964912,0.456236842105263
sp|O43719|HTSF1_HUMAN,1.11,0.79875
sp|O43747-2|AP1G1_HUMAN,0.62,0.185
sp|O43760|SNG2_HUMAN,0.474821428571429,0.223214285714286
sp|O43772|MCAT_HUMAN,0.5,0.45
sp|O43795-2|MYO1B_HUMAN,1.384875,0.681375
sp|O43809|CPSF5_HUMAN,0.303333333333333,0.161666666666667
sp|O43837|IDH3B_HUMAN,0.552,0.193333333333333
sp|O43852-2|CALU_HUMAN,0.4825,0.270454545454546
sp|O43852-3|CALU_HUMAN,0.499532967032967,0.28543956043956
sp|O43854-2|EDIL3_HUMAN,3.94712698412698,3.4502126984127
