Protein,Localization
sp|P20700|LMNB1_HUMAN,Non-Exosome
sp|P04181|OAT_HUMAN,Non-Exosome
sp|P09874|PARP1_HUMAN,Non-Exosome
sp|P40939|ECHA_HUMAN,Non-Exosome
sp|Q9UGP8|SEC63_HUMAN,Non-Exosome
sp|P13667|PDIA4_HUMAN,Non-Exosome
sp|P07814|SYEP_HUMAN,Non-Exosome
sp|P54577|SYYC_HUMAN,Non-Exosome
sp|P02545|LMNA_HUMAN,Non-Exosome
sp|Q9Y5B9|SP16H_HUMAN,Non-Exosome
sp|P53396-2|ACLY_HUMAN,Non-Exosome
sp|P30049|ATPD_HUMAN,Non-Exosome
sp|P18827|SDC1_HUMAN,Exosome
sp|Q8WUM4|PDC6I_HUMAN,Exosome
sp|Q99816|TS101_HUMAN,Exosome
sp|P21926|CD9_HUMAN,Exosome
sp|P60033|CD81_HUMAN,Exosome
