"Uniprot Accession","Protein Description","Gene Symbol","Protein Group","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","SVM Classification","SVM Probability"
"A5D8V6","Vacuolar protein sorting-associated protein 37C ","VPS37C",1," 0.886 +/- 0.094","-0.175","0.974 +/- 0.396","-0.038","Non-Exosome","0.570"
"B7ZAQ6-2","Isoform 2 of Golgi pH regulator A ","GPR89A",2," 0.333 +/- 0.053","-1.585","0.225 +/- 0.085","-2.152","Non-Exosome","0.900"
"O00186","Syntaxin-binding protein 3 ","STXBP3",3," 1.188 +/- 0.172"," 0.248","0.507 +/- 0.033","-0.981","Non-Exosome","0.732"
"O00220","Tumor necrosis factor receptor superfamily member 10A ","TNFRSF10A",4," 0.835 +/- 0.205","-0.260","0.755 +/- 0.145","-0.405","Non-Exosome","0.726"
"O00232-2","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12 ","PSMD12",5," 0.602 +/- 0.198","-0.731","0.279 +/- 0.039","-1.841","Non-Exosome","0.919"
"O00442-2","Isoform 2 of RNA 3'-terminal phosphate cyclase ","RTCA",6," 0.248 +/- 0.038","-2.010","0.192 +/- 0.002","-2.383","Non-Exosome","0.848"
"O00487","26S proteasome non-ATPase regulatory subunit 14 ","PSMD14",7," 0.483 +/- 0.067","-1.049","0.219 +/- 0.014","-2.190","Non-Exosome","0.910"
"O00622","Protein CYR61 ","CYR61",8," 0.944 +/- 0.021","-0.084","0.323 +/- 0.057","-1.632","Non-Exosome","0.863"
"O14684","Prostaglandin E synthase ","PTGES",9," 0.475 +/- 0.045","-1.074","0.324 +/- 0.069","-1.625","Non-Exosome","0.929"
"O14763-2","Isoform Short of Tumor necrosis factor receptor superfamily member 10B ","TNFRSF10B",10," 1.202 +/- 0.768"," 0.266","0.652 +/- 0.448","-0.616","Non-Exosome","0.630"
"O14908-2","Isoform 2 of PDZ domain-containing protein GIPC1 ","GIPC1",11," 0.640 +/- 0.180","-0.644","0.590 +/- 0.110","-0.761","Non-Exosome","0.867"
"O14949","Cytochrome b-c1 complex subunit 8 ","UQCRQ",12," 0.282 +/- 0.082","-1.824","0.210 +/- 0.025","-2.252","Non-Exosome","0.877"
"O15347","High mobility group protein B3 ","HMGB3",13," 0.265 +/- 0.015","-1.916","0.140 +/- 0.060","-2.837","Non-Exosome","0.804"
"O43657","Tetraspanin-6 ","TSPAN6",14," 2.473 +/- 0.908"," 1.306","2.482 +/- 1.226"," 1.312","Exosome","0.879"
"O43677","NADH dehydrogenase [ubiquinone] 1 subunit C1; mitochondrial ","NDUFC1",15," 0.362 +/- 0.242","-1.467","0.237 +/- 0.137","-2.079","Non-Exosome","0.910"
"O43854-2","Isoform 2 of EGF-like repeat and discoidin I-like domain-containing protein 3 ","EDIL3",16," 3.947 +/- 0.580"," 1.981","3.450 +/- 0.616"," 1.787","Exosome","0.870"
"O60524-3","Isoform 3 of Nuclear export mediator factor NEMF ","NEMF",17," 0.968 +/- 0.032","-0.048","0.585 +/- 0.505","-0.773","Non-Exosome","0.772"
"O60841","Eukaryotic translation initiation factor 5B ","EIF5B",18," 0.656 +/- 0.044","-0.608","0.285 +/- 0.065","-1.811","Non-Exosome","0.914"
"O60888-2","Isoform A of Protein CutA ","CUTA",19," 0.830 +/- 0.440","-0.269","0.260 +/- 0.110","-1.943","Non-Exosome","0.878"
"O75396","Vesicle-trafficking protein SEC22b ","SEC22B",20," 0.576 +/- 0.041","-0.795","0.509 +/- 0.226","-0.975","Non-Exosome","0.901"
"O75436-2","Isoform 2 of Vacuolar protein sorting-associated protein 26A ","VPS26A",21," 0.668 +/- 0.372","-0.583","0.289 +/- 0.041","-1.792","Non-Exosome","0.913"
"O75531","Barrier-to-autointegration factor ","BANF1",22," 0.421 +/- 0.051","-1.249","0.169 +/- 0.009","-2.563","Non-Exosome","0.875"
"O75694-2","Isoform 2 of Nuclear pore complex protein Nup155 ","NUP155",23," 0.766 +/- 0.297","-0.385","0.359 +/- 0.147","-1.480","Non-Exosome","0.900"
"O75695","Protein XRP2 ","RP2",24," 1.041 +/- 0.081"," 0.058","1.058 +/- 0.292"," 0.081","Exosome","0.556"
"O75718","Cartilage-associated protein ","CRTAP",25," 0.481 +/- 0.161","-1.057","0.150 +/- 0.095","-2.734","Non-Exosome","0.849"
"O75844","CAAX prenyl protease 1 homolog ","ZMPSTE24",26," 0.346 +/- 0.024","-1.532","0.163 +/- 0.013","-2.618","Non-Exosome","0.861"
"O75915","PRA1 family protein 3 ","ARL6IP5",27," 0.379 +/- 0.007","-1.399","0.236 +/- 0.016","-2.083","Non-Exosome","0.912"
"O75935-2","Isoform 2 of Dynactin subunit 3 ","DCTN3",28," 0.610 +/- 0.000","-0.713","0.295 +/- 0.045","-1.761","Non-Exosome","0.920"
"O76003","Glutaredoxin-3 ","GLRX3",29," 0.473 +/- 0.233","-1.079","0.278 +/- 0.098","-1.845","Non-Exosome","0.926"
"O94826","Mitochondrial import receptor subunit TOM70 ","TOMM70A",30," 0.413 +/- 0.036","-1.277","0.326 +/- 0.024","-1.619","Non-Exosome","0.926"
"O94874-2","Isoform 2 of E3 UFM1-protein ligase 1 ","UFL1",31," 0.270 +/- 0.030","-1.889","0.125 +/- 0.005","-3.000","Non-Exosome","0.780"
"O95084","Serine protease 23 ","PRSS23",32," 2.591 +/- 0.140"," 1.374","1.330 +/- 0.053"," 0.411","Exosome","0.860"
"O95810","Serum deprivation-response protein ","SDPR",33," 0.520 +/- 0.140","-0.943","0.368 +/- 0.108","-1.444","Non-Exosome","0.927"
"O95861-2","Isoform 2 of 3'(2');5'-bisphosphate nucleotidase 1 ","BPNT1",34," 0.608 +/- 0.042","-0.717","0.590 +/- 0.130","-0.761","Non-Exosome","0.873"
"O95881","Thioredoxin domain-containing protein 12 ","TXNDC12",35," 0.235 +/- 0.041","-2.087","0.107 +/- 0.004","-3.224","Non-Exosome","0.720"
"P00403","Cytochrome c oxidase subunit 2 ","MT-CO2",36," 0.367 +/- 0.024","-1.446","0.141 +/- 0.038","-2.827","Non-Exosome","0.834"
"P00734","Prothrombin ","F2",37," 1.992 +/- 0.130"," 0.994","0.637 +/- 0.100","-0.651","Exosome","0.604"
"P00747","Plasminogen ","PLG",38," 0.790 +/- 0.250","-0.340","0.307 +/- 0.067","-1.704","Non-Exosome","0.895"
"P02792","Ferritin light chain ","FTL",39," 1.022 +/- 0.178"," 0.032","0.461 +/- 0.066","-1.118","Non-Exosome","0.813"
"P04040","Catalase ","CAT",40," 0.597 +/- 0.310","-0.744","0.340 +/- 0.175","-1.556","Non-Exosome","0.924"
"P04080","Cystatin-B ","CSTB",41," 0.572 +/- 0.024","-0.807","0.278 +/- 0.000","-1.848","Non-Exosome","0.921"
"P05121-2","Isoform 2 of Plasminogen activator inhibitor 1 ","SERPINE1",42," 0.943 +/- 0.397","-0.084","0.330 +/- 0.030","-1.599","Non-Exosome","0.863"
"P05161","Ubiquitin-like protein ISG15 ","ISG15",43," 0.583 +/- 0.044","-0.778","0.294 +/- 0.025","-1.765","Non-Exosome","0.923"
"P06400","Retinoblastoma-associated protein ","RB1",44," 0.295 +/- 0.035","-1.761","0.165 +/- 0.005","-2.599","Non-Exosome","0.850"
"P07305-2","Isoform 2 of Histone H1.0 ","H1F0",45," 0.320 +/- 0.050","-1.644","0.095 +/- 0.035","-3.396","Non-Exosome","0.717"
"P07602-2","Isoform Sap-mu-6 of Prosaposin ","PSAP",46," 0.416 +/- 0.024","-1.267","0.191 +/- 0.021","-2.385","Non-Exosome","0.894"
"P07996","Thrombospondin-1 ","THBS1",47," 1.992 +/- 0.862"," 0.994","0.605 +/- 0.102","-0.726","Exosome","0.582"
"P08240-2","Isoform 2 of Signal recognition particle receptor subunit alpha ","SRPR",48," 0.302 +/- 0.012","-1.729","0.181 +/- 0.044","-2.467","Non-Exosome","0.867"
"P08572","Collagen alpha-2(IV) chain ","COL4A2",49," 0.480 +/- 0.000","-1.059","0.415 +/- 0.085","-1.269","Non-Exosome","0.923"
"P08574","Cytochrome c1; heme protein; mitochondrial ","CYC1",50," 0.461 +/- 0.087","-1.117","0.255 +/- 0.011","-1.971","Non-Exosome","0.922"
"P0C6C1","Ankyrin repeat domain-containing protein 34C ","ANKRD34C",51," 1.275 +/- 0.415"," 0.350","0.990 +/- 0.490","-0.014","Exosome","0.624"
"P0DME0","Protein SETSIP ","SETSIP",52," 0.485 +/- 0.055","-1.044","0.305 +/- 0.155","-1.713","Non-Exosome","0.928"
"P10606","Cytochrome c oxidase subunit 5B; mitochondrial ","COX5B",53," 0.453 +/- 0.041","-1.142","0.273 +/- 0.016","-1.871","Non-Exosome","0.925"
"P10643","Complement component C7 ","C7",54," 1.243 +/- 0.371"," 0.314","0.759 +/- 0.309","-0.398","Non-Exosome","0.531"
"P11117","Lysosomal acid phosphatase ","ACP2",55," 0.710 +/- 0.490","-0.494","0.615 +/- 0.225","-0.701","Non-Exosome","0.842"
"P11182","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex; mitochondrial ","DBT",56," 0.383 +/- 0.060","-1.383","0.205 +/- 0.052","-2.286","Non-Exosome","0.900"
"P11532-2","Isoform 1 of Dystrophin ","DMD",57," 1.202 +/- 0.038"," 0.265","0.740 +/- 0.226","-0.435","Non-Exosome","0.564"
"P12109","Collagen alpha-1(VI) chain ","COL6A1",58," 0.591 +/- 0.231","-0.758","0.376 +/- 0.069","-1.410","Non-Exosome","0.922"
"P12259","Coagulation factor V ","F5",59," 0.968 +/- 0.171","-0.048","0.468 +/- 0.078","-1.096","Non-Exosome","0.828"
"P13473-2","Isoform LAMP-2B of Lysosome-associated membrane glycoprotein 2 ","LAMP2",60," 1.091 +/- 0.176"," 0.125","0.726 +/- 0.066","-0.461","Non-Exosome","0.628"
"P13639","Elongation factor 2 ","EEF2",61," 0.617 +/- 0.079","-0.696","0.287 +/- 0.013","-1.803","Non-Exosome","0.919"
"P13671","Complement component C6 ","C6",62," 1.015 +/- 0.215"," 0.021","0.608 +/- 0.012","-0.719","Non-Exosome","0.740"
"P13674-2","Isoform 2 of Prolyl 4-hydroxylase subunit alpha-1 ","P4HA1",63," 0.425 +/- 0.022","-1.236","0.220 +/- 0.051","-2.184","Non-Exosome","0.910"
"P14854","Cytochrome c oxidase subunit 6B1 ","COX6B1",64," 0.336 +/- 0.076","-1.572","0.251 +/- 0.021","-1.993","Non-Exosome","0.908"
"P15151-2","Isoform Beta of Poliovirus receptor ","PVR",65," 1.125 +/- 0.225"," 0.170","0.575 +/- 0.105","-0.798","Non-Exosome","0.715"
"P15954","Cytochrome c oxidase subunit 7C; mitochondrial ","COX7C",66," 0.300 +/- 0.080","-1.737","0.145 +/- 0.045","-2.786","Non-Exosome","0.826"
"P17152","Transmembrane protein 11; mitochondrial ","TMEM11",67," 0.358 +/- 0.058","-1.484","0.195 +/- 0.095","-2.358","Non-Exosome","0.891"
"P17931","Galectin-3 ","LGALS3",68," 0.492 +/- 0.048","-1.022","0.192 +/- 0.142","-2.377","Non-Exosome","0.894"
"P19823","Inter-alpha-trypsin inhibitor heavy chain H2 ","ITIH2",69," 0.688 +/- 0.132","-0.541","0.290 +/- 0.040","-1.786","Non-Exosome","0.910"
