"","Description","Gene_Name","Probability","svm","svm.scores","Log2_Ratio_130.129","Log2_Ratio_131.129","Ratio_130.129","SD_130.129","Ratio_131.129","SD_131.129","Unique_Peptides","Protein_Group","markers","Coverage"
"sp|A0AVT1|UBA6_HUMAN","Ubiquitin-like modifier-activating enzyme 6 ","UBA6",1,"Non-Exosome",0.884239558251572,-0.98564470702293,-1.59946207041627,0.505,0.158333333333333,0.33,0.02,4,382,"unknown",5
"sp|A0FGR8-2|ESYT2_HUMAN","Isoform 2 of Extended synaptotagmin-2 ","ESYT2",1,"Non-Exosome",0.717745045206764,-0.144010302691519,-1.33097323449037,0.905,0.28,0.3975,0.0575,4,383,"unknown",11.8
"sp|A5D8V6|VP37C_HUMAN","Vacuolar protein sorting-associated protein 37C ","VPS37C",1,"Exosome",0.593940900941726,-0.174892808964777,-0.0377594759642241,0.885833333333333,0.0941666666666667,0.974166666666667,0.395833333333333,2,1,"unknown",15.5
"sp|A5YKK6-2|CNOT1_HUMAN","Isoform 2 of CCR4-NOT transcription complex subunit 1 ","CNOT1",1,"Exosome",0.787659185925022,0.618238655595455,0.093109404391486,1.535,0.725,1.06666666666667,0.996666666666667,3,384,"unknown",3
"sp|A6NCE7|MP3B2_HUMAN","Microtubule-associated proteins 1A/1B light chain 3 beta 2 ","MAP1LC3B2",1,"Exosome",0.756795457431849,0.75702324650746,-0.209227962138,1.69,0.16,0.865,0.085,1,385,"unknown",18.7
"sp|A6NGU5|GGT3_HUMAN","Putative gamma-glutamyltranspeptidase 3 ","GGT3P",1,"Exosome",0.64888602715654,0.443076151362673,-0.406407194135404,1.3595,0.2455,0.7545,0.0605000000000001,4,386,"unknown",7.3
"sp|A6NHL2-2|TBAL3_HUMAN","Isoform 2 of Tubulin alpha chain-like 3 ","TUBAL3",0.0264,"Non-Exosome",0.972524187275986,-1.59294423638263,-2.60848968418366,0.331494252873563,0.0118390804597701,0.163970741901776,0.011546499477534,3,1482,"unknown",0
"sp|A6NMY6|AXA2L_HUMAN","Putative annexin A2-like protein ","ANXA2P2",0.1751,"Non-Exosome",0.880344369879399,-0.807004309620369,-1.73413674921916,0.57156746031746,0.00593253968253971,0.300588818860878,0.0225729458450047,19,619,"unknown",47.8
"sp|A8MWL6|SNG2L_HUMAN","Putative synaptogyrin-2 like protein ","",0.0036,"Non-Exosome",0.960070974800317,-1.32192809488736,-2.47393118833241,0.4,0.12,0.18,0.08,1,467,"unknown",0
"sp|B7ZAQ6-2|GPHRA_HUMAN","Isoform 2 of Golgi pH regulator A ","GPR89A",1,"Non-Exosome",0.957364996693118,-1.58496250072116,-2.15200309344505,0.333333333333333,0.0533333333333333,0.225,0.085,1,2,"unknown",4.8
