proteins.Protein,proteins.SD_130.129,proteins.SD_131.129,proteins.Description,proteins.Unique_Peptides,proteins.Gene_Name,proteins.Probability,proteins.Coverage,proteins.Entry_Num,proteins.Protein_Group,proteins.Ratio_130.129,proteins.Ratio_131.129
sp|A0AVT1|UBA6_HUMAN,0.158333333333333,0.02,Ubiquitin-like modifier-activating enzyme 6 ,4,UBA6,1,5,382a,382,0.505,0.33
sp|A0FGR8-2|ESYT2_HUMAN,0.28,0.0575,Isoform 2 of Extended synaptotagmin-2 ,4,ESYT2,1,11.8,383a,383,0.905,0.3975
sp|A5D8V6|VP37C_HUMAN,0.0941666666666667,0.395833333333333,Vacuolar protein sorting-associated protein 37C ,2,VPS37C,1,15.5,1,1,0.885833333333333,0.974166666666667
sp|A5YKK6-2|CNOT1_HUMAN,0.725,0.996666666666667,Isoform 2 of CCR4-NOT transcription complex subunit 1 ,3,CNOT1,1,3,384a,384,1.535,1.06666666666667
sp|A6NCE7|MP3B2_HUMAN,0.16,0.085,Microtubule-associated proteins 1A/1B light chain 3 beta 2 ,1,MAP1LC3B2,1,18.7,385a,385,1.69,0.865
sp|A6NGU5|GGT3_HUMAN,0.2455,0.0605000000000001,Putative gamma-glutamyltranspeptidase 3 ,4,GGT3P,1,7.3,386a,386,1.3595,0.7545
sp|A6NHL2-2|TBAL3_HUMAN,0.0118390804597701,0.011546499477534,Isoform 2 of Tubulin alpha chain-like 3 ,3,TUBAL3,0.0264,0,1482d,1482,0.331494252873563,0.163970741901776
sp|A6NMY6|AXA2L_HUMAN,0.00593253968253971,0.0225729458450047,Putative annexin A2-like protein ,19,ANXA2P2,0.1751,47.8,619b,619,0.57156746031746,0.300588818860878
sp|A8MWL6|SNG2L_HUMAN,0.12,0.08,Putative synaptogyrin-2 like protein ,1,,0.0036,0,467b,467,0.4,0.18
sp|B7ZAQ6-2|GPHRA_HUMAN,0.0533333333333333,0.085,Isoform 2 of Golgi pH regulator A ,1,GPR89A,1,4.8,2,2,0.333333333333333,0.225
sp|E9PAV3-2|NACAM_HUMAN,0.254,0.0485,Isoform 2 of Nascent polypeptide-associated complex subunit alpha; muscle-specific form ,3,NACA,1,30.9,389a,389,0.584,0.2835
sp|F5H284|PAL4D_HUMAN,0.00220394736842106,0.0956578947368421,Peptidyl-prolyl cis-trans isomerase A-like 4D ,2,PPIAL4D,0.0288,0,1055b,1055,0.840953947368421,0.490657894736842
sp|O00116|ADAS_HUMAN,0.504821428571429,0.0205357142857143,Alkyldihydroxyacetonephosphate synthase; peroxisomal ,6,AGPS,1,11.2,390a,390,1.13232142857143,0.218035714285714
sp|O00139-1|KIF2A_HUMAN,0.065,0.11,Isoform 1 of Kinesin-like protein KIF2A ,2,KIF2A,1,2.7,391a,391,0.315,0.39
sp|O00148-2|DX39A_HUMAN,0.00288888888888889,0.0518333333333333,Isoform 2 of ATP-dependent RNA helicase DDX39A ,5,DDX39A,0.0057,0,1192e,1192,0.304888888888889,0.184833333333333
sp|O00148|DX39A_HUMAN,0.0384188034188034,0.0229487179487179,ATP-dependent RNA helicase DDX39A ,7,DDX39A,0.9998,17.8,1192b,1192,0.346196581196581,0.213717948717949
sp|O00154-2|BACH_HUMAN,0.0366666666666667,0.776666666666667,Isoform 2 of Cytosolic acyl coenzyme A thioester hydrolase ,1,ACOT7,0.9997,4.5,1761,1761,0.976666666666667,0.893333333333333
sp|O00159-2|MYO1C_HUMAN,0.165047619047619,0.0812857142857142,Isoform 2 of Unconventional myosin-Ic ,15,MYO1C,1,21.1,392a,392,0.980285714285714,0.373952380952381
sp|O00161-2|SNP23_HUMAN,0.39,0.09,Isoform SNAP-23b of Synaptosomal-associated protein 23 ,1,SNAP23,1,10.8,393a,393,1.14,0.63
sp|O00170|AIP_HUMAN,0.095,0.03,AH receptor-interacting protein ,1,AIP,1,8.8,394a,394,0.235,0.13
sp|O00186|STXB3_HUMAN,0.1725,0.0333333333333334,Syntaxin-binding protein 3 ,4,STXBP3,1,8.1,3,3,1.1875,0.506666666666667
sp|O00203-3|AP3B1_HUMAN,0.118333333333333,0.0683333333333333,Isoform 2 of AP-3 complex subunit beta-1 ,4,AP3B1,1,5.7,395a,395,0.428333333333333,0.371666666666667
