"Uniprot Accession","Gene Name","Description","Gene Ontology Classifications","SVM Classification"
"A5D8V6","VPS37C","Vacuolar protein sorting-associated protein 37C ","","Non-Exosome"
"B7ZAQ6-2","GPR89A","Isoform 2 of Golgi pH regulator A ","","Non-Exosome"
"O00186","STXBP3","Syntaxin-binding protein 3 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"O00220","TNFRSF10A","Tumor necrosis factor receptor superfamily member 10A ","","Non-Exosome"
"O00232-2","PSMD12","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12 ","GO:0005829 Cytosol","Non-Exosome"
"O00442-2","RTCA","Isoform 2 of RNA 3'-terminal phosphate cyclase ","","Non-Exosome"
"O00487","PSMD14","26S proteasome non-ATPase regulatory subunit 14 ","GO:0005829 Cytosol","Non-Exosome"
"O00622","CYR61","Protein CYR61 ","","Non-Exosome"
"O14684","PTGES","Prostaglandin E synthase ","","Non-Exosome"
"O14763-2","TNFRSF10B","Isoform Short of Tumor necrosis factor receptor superfamily member 10B ","GO:0005886 Plasma Membrane","Non-Exosome"
"O14908-2","GIPC1","Isoform 2 of PDZ domain-containing protein GIPC1 ","GO:0031090 Organelle Membrane; GO:0005829 Cytosol","Non-Exosome"
"O14949","UQCRQ","Cytochrome b-c1 complex subunit 8 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O15347","HMGB3","High mobility group protein B3 ","","Non-Exosome"
"O43657","TSPAN6","Tetraspanin-6 ","","Exosome"
"O43677","NDUFC1","NADH dehydrogenase [ubiquinone] 1 subunit C1; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O43854-2","EDIL3","Isoform 2 of EGF-like repeat and discoidin I-like domain-containing protein 3 ","","Exosome"
"O60524-3","NEMF","Isoform 3 of Nuclear export mediator factor NEMF ","","Non-Exosome"
"O60841","EIF5B","Eukaryotic translation initiation factor 5B ","","Non-Exosome"
"O60888-2","CUTA","Isoform A of Protein CutA ","","Non-Exosome"
"O75396","SEC22B","Vesicle-trafficking protein SEC22b ","","Non-Exosome"
"O75436-2","VPS26A","Isoform 2 of Vacuolar protein sorting-associated protein 26A ","GO:0005829 Cytosol","Non-Exosome"
"O75531","BANF1","Barrier-to-autointegration factor ","GO:0005829 Cytosol","Non-Exosome"
"O75694-2","NUP155","Isoform 2 of Nuclear pore complex protein Nup155 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O75695","RP2","Protein XRP2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O75718","CRTAP","Cartilage-associated protein ","GO:0031012 Extracellular Matrix","Non-Exosome"
"O75844","ZMPSTE24","CAAX prenyl protease 1 homolog ","","Non-Exosome"
"O75915","ARL6IP5","PRA1 family protein 3 ","","Non-Exosome"
"O75935-2","DCTN3","Isoform 2 of Dynactin subunit 3 ","GO:0005829 Cytosol","Non-Exosome"
"O76003","GLRX3","Glutaredoxin-3 ","","Non-Exosome"
"O94826","TOMM70A","Mitochondrial import receptor subunit TOM70 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O94874-2","UFL1","Isoform 2 of E3 UFM1-protein ligase 1 ","","Non-Exosome"
"O95084","PRSS23","Serine protease 23 ","","Exosome"
"O95810","SDPR","Serum deprivation-response protein ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"O95861-2","BPNT1","Isoform 2 of 3'(2');5'-bisphosphate nucleotidase 1 ","GO:0005829 Cytosol","Non-Exosome"
"O95881","TXNDC12","Thioredoxin domain-containing protein 12 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"P00403","MT-CO2","Cytochrome c oxidase subunit 2 ","","Non-Exosome"
"P00734","F2","Prothrombin ","GO:0005886 Plasma Membrane","Exosome"
"P00747","PLG","Plasminogen ","","Non-Exosome"
"P02792","FTL","Ferritin light chain ","GO:0005829 Cytosol","Non-Exosome"
"P04040","CAT","Catalase ","GO:0031090 Organelle Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P04080","CSTB","Cystatin-B ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P05121-2","SERPINE1","Isoform 2 of Plasminogen activator inhibitor 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P05161","ISG15","Ubiquitin-like protein ISG15 ","","Non-Exosome"
"P06400","RB1","Retinoblastoma-associated protein ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P07305-2","H1F0","Isoform 2 of Histone H1.0 ","","Non-Exosome"
"P07602-2","PSAP","Isoform Sap-mu-6 of Prosaposin ","GO:0070013 Intracellular Organelle Lumen","Non-Exosome"
"P07996","THBS1","Thrombospondin-1 ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix",NA
"P08240-2","SRPR","Isoform 2 of Signal recognition particle receptor subunit alpha ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P08572","COL4A2","Collagen alpha-2(IV) chain ","GO:0031012 Extracellular Matrix","Non-Exosome"
"P08574","CYC1","Cytochrome c1; heme protein; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P0C6C1","ANKRD34C","Ankyrin repeat domain-containing protein 34C ","","Exosome"
"P0DME0","SETSIP","Protein SETSIP ","","Non-Exosome"
"P10606","COX5B","Cytochrome c oxidase subunit 5B; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P10643","C7","Complement component C7 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P11117","ACP2","Lysosomal acid phosphatase ","GO:0070013 Intracellular Organelle Lumen","Non-Exosome"
"P11182","DBT","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P11532-2","DMD","Isoform 1 of Dystrophin ","GO:0005886 Plasma Membrane","Non-Exosome"
