"Protein","Entry_Num","Probability","Coverage","Independent_Spectra","Percent_Spectrum_ID","Protein_Group","Ratio_130.129_Rep1","Ratio_131.129_Rep1","Ratio_130.129Rep_2","Ratio_131.129Rep_2","Description","Gene_Name"
"sp|A0AVT1|UBA6_HUMAN","382a",1,5,18,0.018,"382",0.663333333333333,0.35,0.346666666666667,0.31,"Ubiquitin-like modifier-activating enzyme 6 ","UBA6"
"sp|A0FGR8-2|ESYT2_HUMAN","383a",1,11.8,29,0.025,"383",0.625,0.34,1.185,0.455,"Isoform 2 of Extended synaptotagmin-2 ","ESYT2"
"sp|A5D8V6|VP37C_HUMAN","1",1,15.5,23,0.024,"1",0.791666666666667,0.578333333333333,0.98,1.37,"Vacuolar protein sorting-associated protein 37C ","VPS37C"
"sp|A5YKK6-2|CNOT1_HUMAN","384a",1,3,13,0.014,"384",2.26,2.06333333333333,0.81,0.07,"Isoform 2 of CCR4-NOT transcription complex subunit 1 ","CNOT1"
"sp|A6NCE7|MP3B2_HUMAN","385a",1,18.7,13,0.006,"385",1.85,0.95,1.53,0.78,"Microtubule-associated proteins 1A/1B light chain 3 beta 2 ","MAP1LC3B2"
"sp|A6NGU5|GGT3_HUMAN","386a",1,7.3,14,0.015,"386",1.114,0.694,1.605,0.815,"Putative gamma-glutamyltranspeptidase 3 ","GGT3P"
"sp|A6NHL2-2|TBAL3_HUMAN","1482d",0.0264,0,131,0,"1482",0.319655172413793,0.17551724137931,0.343333333333333,0.152424242424242,"Isoform 2 of Tubulin alpha chain-like 3 ","TUBAL3"
"sp|A6NMY6|AXA2L_HUMAN","619b",0.1751,47.8,698,0.004,"619",0.5775,0.323161764705882,0.565634920634921,0.278015873015873,"Putative annexin A2-like protein ","ANXA2P2"
"sp|A8MWL6|SNG2L_HUMAN","467b",0.0036,0,6,0,"467",0.52,0.26,0.28,0.1,"Putative synaptogyrin-2 like protein ",""
"sp|B7ZAQ6-2|GPHRA_HUMAN","2",1,4.8,15,0.016,"2",0.28,0.14,0.386666666666667,0.31,"Isoform 2 of Golgi pH regulator A ","GPR89A"
"sp|E9PAV3-2|NACAM_HUMAN","389a",1,30.9,17,0.018,"389",0.838,0.332,0.33,0.235,"Isoform 2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form ","NACA"
"sp|F5H284|PAL4D_HUMAN","1055b",0.0288,0,92,0,"1055",0.843157894736842,0.586315789473684,0.83875,0.395,"Peptidyl-prolyl cis-trans isomerase A-like 4D ","PPIAL4D"
"sp|O00116|ADAS_HUMAN","390a",1,11.2,25,0.027,"390",1.63714285714286,0.238571428571429,0.6275,0.1975,"Alkyldihydroxyacetonephosphate synthase, peroxisomal ","AGPS"
"sp|O00139-1|KIF2A_HUMAN","391a",1,2.7,7,0.008,"391",0.25,0.28,0.38,0.5,"Isoform 1 of Kinesin-like protein KIF2A ","KIF2A"
"sp|O00148-2|DX39A_HUMAN","1192e",0.0057,0,44,0,"1192",0.302,0.133,0.307777777777778,0.236666666666667,"Isoform 2 of ATP-dependent RNA helicase DDX39A ","DDX39A"
"sp|O00148|DX39A_HUMAN","1192b",0.9998,17.8,48,0.03,"1192",0.384615384615385,0.190769230769231,0.307777777777778,0.236666666666667,"ATP-dependent RNA helicase DDX39A ","DDX39A"
"sp|O00154-2|BACH_HUMAN","1761",0.9997,4.5,20,0.021,"1761",1.01333333333333,0.116666666666667,0.94,1.67,"Isoform 2 of Cytosolic acyl coenzyme A thioester hydrolase ","ACOT7"
"sp|O00159-2|MYO1C_HUMAN","392a",1,21.1,90,0.085,"392",0.815238095238095,0.455238095238095,1.14533333333333,0.292666666666667,"Isoform 2 of Unconventional myosin-Ic ","MYO1C"
"sp|O00161-2|SNP23_HUMAN","393a",1,10.8,8,0.009,"393",0.75,0.72,1.53,0.54,"Isoform SNAP-23b of Synaptosomal-associated protein 23 ","SNAP23"
"sp|O00170|AIP_HUMAN","394a",1,8.8,14,0.015,"394",0.14,0.1,0.33,0.16,"AH receptor-interacting protein ","AIP"
"sp|O00186|STXB3_HUMAN","3",1,8.1,26,0.025,"3",1.015,0.54,1.36,0.473333333333333,"Syntaxin-binding protein 3 ","STXBP3"
"sp|O00203-3|AP3B1_HUMAN","395a",1,5.7,12,0.013,"395",0.31,0.44,0.546666666666667,0.303333333333333,"Isoform 2 of AP-3 complex subunit beta-1 ","AP3B1"
"sp|O00220|TR10A_HUMAN","4",1,5.1,8,0.009,"4",1.04,0.61,0.63,0.9,"Tumor necrosis factor receptor superfamily member 10A ","TNFRSF10A"
"sp|O00231-2|PSD11_HUMAN","397a",1,30.8,32,0.033,"397",0.831666666666667,0.46,0.55375,0.32125,"Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 ","PSMD11"
"sp|O00232-2|PSD12_HUMAN","5",1,19,29,0.031,"5",0.405,0.24,0.8,0.318333333333333,"Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12 ","PSMD12"
"sp|O00264|PGRC1_HUMAN","398a",1,26.2,17,0.017,"398",0.28,0.26,0.31,0.103333333333333,"Membrane-associated progesterone receptor component 1 ","PGRMC1"
"sp|O00299|CLIC1_HUMAN","399a",1,33.6,112,0.104,"399",0.944705882352941,0.378823529411765,0.762380952380952,0.441904761904762,"Chloride intracellular channel protein 1 ","CLIC1"
"sp|O00330-3|ODPX_HUMAN","401a",1,16,30,0.031,"401",0.295,0.165,0.21,0.2025,"Isoform 3 of Pyruvate dehydrogenase protein X component, mitochondrial ","PDHX"
