"Protein","Entry_Num","Probability","Coverage","Independent_Spectra","Percent_Spectrum_ID","Protein_Group","Unique_Peptides","Ratio_130.129_Rep1","Ratio_131.129_Rep1","Ratio_130.129_Rep2","Ratio_131.129_Rep2","Description","Gene_Name","Ratio_130.129","Ratio_131.129","SD_130.129","SD_131.129"
"sp|A0AVT1|UBA6_HUMAN","382a",1,5,18,0.018,"382",4,0.663333333333333,0.35,0.346666666666667,0.31,"Ubiquitin-like modifier-activating enzyme 6 ","UBA6",0.505,0.33,0.158333333333333,0.02
"sp|A0FGR8-2|ESYT2_HUMAN","383a",1,11.8,29,0.025,"383",4,0.625,0.34,1.185,0.455,"Isoform 2 of Extended synaptotagmin-2 ","ESYT2",0.905,0.3975,0.28,0.0575
"sp|A5D8V6|VP37C_HUMAN","1",1,15.5,23,0.024,"1",2,0.791666666666667,0.578333333333333,0.98,1.37,"Vacuolar protein sorting-associated protein 37C ","VPS37C",0.885833333333333,0.974166666666667,0.0941666666666667,0.395833333333333
"sp|A5YKK6-2|CNOT1_HUMAN","384a",1,3,13,0.014,"384",3,2.26,2.06333333333333,0.81,0.07,"Isoform 2 of CCR4-NOT transcription complex subunit 1 ","CNOT1",1.535,1.06666666666667,0.725,0.996666666666667
"sp|A6NCE7|MP3B2_HUMAN","385a",1,18.7,13,0.006,"385",1,1.85,0.95,1.53,0.78,"Microtubule-associated proteins 1A/1B light chain 3 beta 2 ","MAP1LC3B2",1.69,0.865,0.16,0.085
"sp|A6NGU5|GGT3_HUMAN","386a",1,7.3,14,0.015,"386",4,1.114,0.694,1.605,0.815,"Putative gamma-glutamyltranspeptidase 3 ","GGT3P",1.3595,0.7545,0.2455,0.0605000000000001
"sp|A6NHL2-2|TBAL3_HUMAN","1482d",0.0264,0,131,0,"1482",3,0.319655172413793,0.17551724137931,0.343333333333333,0.152424242424242,"Isoform 2 of Tubulin alpha chain-like 3 ","TUBAL3",0.331494252873563,0.163970741901776,0.0118390804597701,0.011546499477534
"sp|A6NMY6|AXA2L_HUMAN","619b",0.1751,47.8,698,0.004,"619",19,0.5775,0.323161764705882,0.565634920634921,0.278015873015873,"Putative annexin A2-like protein ","ANXA2P2",0.57156746031746,0.300588818860878,0.00593253968253971,0.0225729458450047
"sp|A8MWL6|SNG2L_HUMAN","467b",0.0036,0,6,0,"467",1,0.52,0.26,0.28,0.1,"Putative synaptogyrin-2 like protein ","",0.4,0.18,0.12,0.08
"sp|B7ZAQ6-2|GPHRA_HUMAN","2",1,4.8,15,0.016,"2",1,0.28,0.14,0.386666666666667,0.31,"Isoform 2 of Golgi pH regulator A ","GPR89A",0.333333333333333,0.225,0.0533333333333333,0.085
"sp|E9PAV3-2|NACAM_HUMAN","389a",1,30.9,17,0.018,"389",3,0.838,0.332,0.33,0.235,"Isoform 2 of Nascent polypeptide-associated complex subunit alpha; muscle-specific form ","NACA",0.584,0.2835,0.254,0.0485
"sp|F5H284|PAL4D_HUMAN","1055b",0.0288,0,92,0,"1055",2,0.843157894736842,0.586315789473684,0.83875,0.395,"Peptidyl-prolyl cis-trans isomerase A-like 4D ","PPIAL4D",0.840953947368421,0.490657894736842,0.00220394736842106,0.0956578947368421
"sp|O00116|ADAS_HUMAN","390a",1,11.2,25,0.027,"390",6,1.63714285714286,0.238571428571429,0.6275,0.1975,"Alkyldihydroxyacetonephosphate synthase; peroxisomal ","AGPS",1.13232142857143,0.218035714285714,0.504821428571429,0.0205357142857143
"sp|O00139-1|KIF2A_HUMAN","391a",1,2.7,7,0.008,"391",2,0.25,0.28,0.38,0.5,"Isoform 1 of Kinesin-like protein KIF2A ","KIF2A",0.315,0.39,0.065,0.11
"sp|O00148-2|DX39A_HUMAN","1192e",0.0057,0,44,0,"1192",5,0.302,0.133,0.307777777777778,0.236666666666667,"Isoform 2 of ATP-dependent RNA helicase DDX39A ","DDX39A",0.304888888888889,0.184833333333333,0.00288888888888889,0.0518333333333333
"sp|O00148|DX39A_HUMAN","1192b",0.9998,17.8,48,0.03,"1192",7,0.384615384615385,0.190769230769231,0.307777777777778,0.236666666666667,"ATP-dependent RNA helicase DDX39A ","DDX39A",0.346196581196581,0.213717948717949,0.0384188034188034,0.0229487179487179
