"Protein Group","Uniprot Accession","Gene Symbol","Protein Description","ProteinProphet Probability","SVM Classification","SVM Probability","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","Unique Peptides","Coverage (%)"
1,"A5D8V6","VPS37C","Vacuolar protein sorting-associated protein 37C ",1,"Non-Exosome","0.570"," 0.886 +/- 0.094","-0.175","0.974 +/- 0.396","-0.038",2,15.5
2,"B7ZAQ6-2","GPR89A","Isoform 2 of Golgi pH regulator A ",1,"Non-Exosome","0.901"," 0.333 +/- 0.053","-1.585","0.225 +/- 0.085","-2.152",1,4.8
3,"O00186","STXBP3","Syntaxin-binding protein 3 ",1,"Non-Exosome","0.733"," 1.188 +/- 0.172"," 0.248","0.507 +/- 0.033","-0.981",4,8.1
4,"O00220","TNFRSF10A","Tumor necrosis factor receptor superfamily member 10A ",1,"Non-Exosome","0.727"," 0.835 +/- 0.205","-0.260","0.755 +/- 0.145","-0.405",1,5.1
5,"O00232-2","PSMD12","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12 ",1,"Non-Exosome","0.920"," 0.602 +/- 0.198","-0.731","0.279 +/- 0.039","-1.841",6,19
6,"O00442-2","RTCA","Isoform 2 of RNA 3'-terminal phosphate cyclase ",1,"Non-Exosome","0.849"," 0.248 +/- 0.038","-2.010","0.192 +/- 0.002","-2.383",1,8.2
7,"O00487","PSMD14","26S proteasome non-ATPase regulatory subunit 14 ",1,"Non-Exosome","0.910"," 0.483 +/- 0.067","-1.049","0.219 +/- 0.014","-2.190",1,4.5
8,"O00622","CYR61","Protein CYR61 ",1,"Non-Exosome","0.864"," 0.944 +/- 0.021","-0.084","0.323 +/- 0.057","-1.632",6,26.2
9,"O14684","PTGES","Prostaglandin E synthase ",1,"Non-Exosome","0.930"," 0.475 +/- 0.045","-1.074","0.324 +/- 0.069","-1.625",2,13.2
10,"O14763-2","TNFRSF10B","Isoform Short of Tumor necrosis factor receptor superfamily member 10B ",1,"Non-Exosome","0.631"," 1.202 +/- 0.768"," 0.266","0.652 +/- 0.448","-0.616",1,9.6
11,"O14908-2","GIPC1","Isoform 2 of PDZ domain-containing protein GIPC1 ",1,"Non-Exosome","0.868"," 0.640 +/- 0.180","-0.644","0.590 +/- 0.110","-0.761",2,21.9
12,"O14949","UQCRQ","Cytochrome b-c1 complex subunit 8 ",1,"Non-Exosome","0.878"," 0.282 +/- 0.082","-1.824","0.210 +/- 0.025","-2.252",4,42.7
13,"O15347","HMGB3","High mobility group protein B3 ",1,"Non-Exosome","0.805"," 0.265 +/- 0.015","-1.916","0.140 +/- 0.060","-2.837",2,17.6
14,"O43657","TSPAN6","Tetraspanin-6 ",1,"Exosome","0.879"," 2.473 +/- 0.908"," 1.306","2.482 +/- 1.226"," 1.312",4,22.9
15,"O43677","NDUFC1","NADH dehydrogenase [ubiquinone] 1 subunit C1; mitochondrial ",1,"Non-Exosome","0.911"," 0.362 +/- 0.242","-1.467","0.237 +/- 0.137","-2.079",2,27.6
16,"O43854-2","EDIL3","Isoform 2 of EGF-like repeat and discoidin I-like domain-containing protein 3 ",1,"Exosome","0.871"," 3.947 +/- 0.580"," 1.981","3.450 +/- 0.616"," 1.787",28,54.7
17,"O60524-3","NEMF","Isoform 3 of Nuclear export mediator factor NEMF ",1,"Non-Exosome","0.773"," 0.968 +/- 0.032","-0.048","0.585 +/- 0.505","-0.773",2,11.2
18,"O60841","EIF5B","Eukaryotic translation initiation factor 5B ",1,"Non-Exosome","0.914"," 0.656 +/- 0.044","-0.608","0.285 +/- 0.065","-1.811",3,7.4
19,"O60888-2","CUTA","Isoform A of Protein CutA ",1,"Non-Exosome","0.879"," 0.830 +/- 0.440","-0.269","0.260 +/- 0.110","-1.943",1,10.4
20,"O75396","SEC22B","Vesicle-trafficking protein SEC22b ",1,"Non-Exosome","0.902"," 0.576 +/- 0.041","-0.795","0.509 +/- 0.226","-0.975",3,16.7
21,"O75436-2","VPS26A","Isoform 2 of Vacuolar protein sorting-associated protein 26A ",1,"Non-Exosome","0.913"," 0.668 +/- 0.372","-0.583","0.289 +/- 0.041","-1.792",2,10.2
22,"O75531","BANF1","Barrier-to-autointegration factor ",1,"Non-Exosome","0.876"," 0.421 +/- 0.051","-1.249","0.169 +/- 0.009","-2.563",2,24.7
23,"O75694-2","NUP155","Isoform 2 of Nuclear pore complex protein Nup155 ",1,"Non-Exosome","0.901"," 0.766 +/- 0.297","-0.385","0.359 +/- 0.147","-1.480",8,8.7
24,"O75695","RP2","Protein XRP2 ",1,"Exosome","0.556"," 1.041 +/- 0.081"," 0.058","1.058 +/- 0.292"," 0.081",2,3.4
25,"O75718","CRTAP","Cartilage-associated protein ",1,"Non-Exosome","0.850"," 0.481 +/- 0.161","-1.057","0.150 +/- 0.095","-2.734",4,10.6
26,"O75844","ZMPSTE24","CAAX prenyl protease 1 homolog ",1,"Non-Exosome","0.862"," 0.346 +/- 0.024","-1.532","0.163 +/- 0.013","-2.618",4,13.7
27,"O75915","ARL6IP5","PRA1 family protein 3 ",1,"Non-Exosome","0.913"," 0.379 +/- 0.007","-1.399","0.236 +/- 0.016","-2.083",2,7.4
28,"O75935-2","DCTN3","Isoform 2 of Dynactin subunit 3 ",1,"Non-Exosome","0.921"," 0.610 +/- 0.000","-0.713","0.295 +/- 0.045","-1.761",2,12
29,"O76003","GLRX3","Glutaredoxin-3 ",1,"Non-Exosome","0.927"," 0.473 +/- 0.233","-1.079","0.278 +/- 0.098","-1.845",2,6.3
30,"O94826","TOMM70A","Mitochondrial import receptor subunit TOM70 ",1,"Non-Exosome","0.927"," 0.413 +/- 0.036","-1.277","0.326 +/- 0.024","-1.619",10,23.8
31,"O94874-2","UFL1","Isoform 2 of E3 UFM1-protein ligase 1 ",1,"Non-Exosome","0.781"," 0.270 +/- 0.030","-1.889","0.125 +/- 0.005","-3.000",2,3.5
32,"O95084","PRSS23","Serine protease 23 ",1,"Exosome","0.860"," 2.591 +/- 0.140"," 1.374","1.330 +/- 0.053"," 0.411",4,20.2
33,"O95810","SDPR","Serum deprivation-response protein ",1,"Non-Exosome","0.928"," 0.520 +/- 0.140","-0.943","0.368 +/- 0.108","-1.444",3,12.9
34,"O95861-2","BPNT1","Isoform 2 of 3'(2');5'-bisphosphate nucleotidase 1 ",1,"Non-Exosome","0.873"," 0.608 +/- 0.042","-0.717","0.590 +/- 0.130","-0.761",1,8.3
35,"O95881","TXNDC12","Thioredoxin domain-containing protein 12 ",1,"Non-Exosome","0.721"," 0.235 +/- 0.041","-2.087","0.107 +/- 0.004","-3.224",2,18
36,"P00403","MT-CO2","Cytochrome c oxidase subunit 2 ",1,"Non-Exosome","0.835"," 0.367 +/- 0.024","-1.446","0.141 +/- 0.038","-2.827",3,24.2
37,"P00734","F2","Prothrombin ",1,"Exosome","0.604"," 1.992 +/- 0.130"," 0.994","0.637 +/- 0.100","-0.651",5,7
38,"P00747","PLG","Plasminogen ",1,"Non-Exosome","0.896"," 0.790 +/- 0.250","-0.340","0.307 +/- 0.067","-1.704",2,3
39,"P02792","FTL","Ferritin light chain ",1,"Non-Exosome","0.814"," 1.022 +/- 0.178"," 0.032","0.461 +/- 0.066","-1.118",2,9.1
40,"P04040","CAT","Catalase ",1,"Non-Exosome","0.924"," 0.597 +/- 0.310","-0.744","0.340 +/- 0.175","-1.556",4,7.8
41,"P04080","CSTB","Cystatin-B ",1,"Non-Exosome","0.922"," 0.572 +/- 0.024","-0.807","0.278 +/- 0.000","-1.848",3,53.1
42,"P05121-2","SERPINE1","Isoform 2 of Plasminogen activator inhibitor 1 ",1,"Non-Exosome","0.864"," 0.943 +/- 0.397","-0.084","0.330 +/- 0.030","-1.599",2,7.2
43,"P05161","ISG15","Ubiquitin-like protein ISG15 ",1,"Non-Exosome","0.923"," 0.583 +/- 0.044","-0.778","0.294 +/- 0.025","-1.765",6,42.4
44,"P06400","RB1","Retinoblastoma-associated protein ",1,"Non-Exosome","0.851"," 0.295 +/- 0.035","-1.761","0.165 +/- 0.005","-2.599",3,4.2
45,"P07305-2","H1F0","Isoform 2 of Histone H1.0 ",1,"Non-Exosome","0.718"," 0.320 +/- 0.050","-1.644","0.095 +/- 0.035","-3.396",1,15.8
46,"P07602-2","PSAP","Isoform Sap-mu-6 of Prosaposin ",1,"Non-Exosome","0.895"," 0.416 +/- 0.024","-1.267","0.191 +/- 0.021","-2.385",6,16.2
47,"P07996","THBS1","Thrombospondin-1 ",1,"Exosome","0.582"," 1.992 +/- 0.862"," 0.994","0.605 +/- 0.102","-0.726",10,10.2
48,"P08240-2","SRPR","Isoform 2 of Signal recognition particle receptor subunit alpha ",1,"Non-Exosome","0.868"," 0.302 +/- 0.012","-1.729","0.181 +/- 0.044","-2.467",4,7.9
49,"P08572","COL4A2","Collagen alpha-2(IV) chain ",1,"Non-Exosome","0.923"," 0.480 +/- 0.000","-1.059","0.415 +/- 0.085","-1.269",2,2.9
50,"P08574","CYC1","Cytochrome c1; heme protein; mitochondrial ",1,"Non-Exosome","0.922"," 0.461 +/- 0.087","-1.117","0.255 +/- 0.011","-1.971",4,22.2
51,"P0C6C1","ANKRD34C","Ankyrin repeat domain-containing protein 34C ",1,"Exosome","0.624"," 1.275 +/- 0.415"," 0.350","0.990 +/- 0.490","-0.014",1,2.8
52,"P0DME0","SETSIP","Protein SETSIP ",1,"Non-Exosome","0.929"," 0.485 +/- 0.055","-1.044","0.305 +/- 0.155","-1.713",2,8.6
53,"P10606","COX5B","Cytochrome c oxidase subunit 5B; mitochondrial ",1,"Non-Exosome","0.926"," 0.453 +/- 0.041","-1.142","0.273 +/- 0.016","-1.871",6,44.2
54,"P10643","C7","Complement component C7 ",1,"Non-Exosome","0.531"," 1.243 +/- 0.371"," 0.314","0.759 +/- 0.309","-0.398",3,4.4
55,"P11117","ACP2","Lysosomal acid phosphatase ",1,"Non-Exosome","0.843"," 0.710 +/- 0.490","-0.494","0.615 +/- 0.225","-0.701",2,6.8
56,"P11182","DBT","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex; mitochondrial ",1,"Non-Exosome","0.901"," 0.383 +/- 0.060","-1.383","0.205 +/- 0.052","-2.286",4,19.1
57,"P11532-2","DMD","Isoform 1 of Dystrophin ",1,"Non-Exosome","0.564"," 1.202 +/- 0.038"," 0.265","0.740 +/- 0.226","-0.435",2,0.4
58,"P12109","COL6A1","Collagen alpha-1(VI) chain ",1,"Non-Exosome","0.923"," 0.591 +/- 0.231","-0.758","0.376 +/- 0.069","-1.410",4,7.3
59,"P12259","F5","Coagulation factor V ",1,"Non-Exosome","0.828"," 0.968 +/- 0.171","-0.048","0.468 +/- 0.078","-1.096",9,4.2
60,"P13473-2","LAMP2","Isoform LAMP-2B of Lysosome-associated membrane glycoprotein 2 ",1,"Non-Exosome","0.628"," 1.091 +/- 0.176"," 0.125","0.726 +/- 0.066","-0.461",2,5.7
61,"P13639","EEF2","Elongation factor 2 ",1,"Non-Exosome","0.919"," 0.617 +/- 0.079","-0.696","0.287 +/- 0.013","-1.803",23,36.6
